match_id,season,captain1_id,captain1_name,captain1_team,captain2_id,captain2_name,captain2_team
829705,2015,48405,Rohit Sharma,Mumbai Indians,7773,Gautam Gambhir,Kolkata Knight Riders
829707,2015,7593,MS Dhoni,Chennai Super Kings,45222,Jean-Paul Duminy,Delhi Daredevils
829709,2015,50281,Steven Smith,Rajasthan Royals,35384,George Bailey,Kings XI Punjab
829711,2015,7593,MS Dhoni,Chennai Super Kings,48739,David Warner,Sunrisers Hyderabad
829713,2015,7773,Gautam Gambhir,Kolkata Knight Riders,49752,Virat Kohli,Royal Challengers Bangalore
829715,2015,45222,Jean-Paul Duminy,Delhi Daredevils,50281,Steven Smith,Rajasthan Royals
829717,2015,35384,George Bailey,Kings XI Punjab,48405,Rohit Sharma,Mumbai Indians
829719,2015,49752,Virat Kohli,Royal Challengers Bangalore,48739,David Warner,Sunrisers Hyderabad
829721,2015,48405,Rohit Sharma,Mumbai Indians,50281,Steven Smith,Rajasthan Royals
829723,2015,7593,MS Dhoni,Chennai Super Kings,7773,Gautam Gambhir,Kolkata Knight Riders
829725,2015,35384,George Bailey,Kings XI Punjab,45222,Jean-Paul Duminy,Delhi Daredevils
829727,2015,48739,David Warner,Sunrisers Hyderabad,50281,Steven Smith,Rajasthan Royals
829729,2015,48405,Rohit Sharma,Mumbai Indians,7593,MS Dhoni,Chennai Super Kings
829731,2015,45222,Jean-Paul Duminy,Delhi Daredevils,48739,David Warner,Sunrisers Hyderabad
829733,2015,35384,George Bailey,Kings XI Punjab,7773,Gautam Gambhir,Kolkata Knight Riders
829735,2015,7593,MS Dhoni,Chennai Super Kings,10125,Shane Watson,Rajasthan Royals
829737,2015,48405,Rohit Sharma,Mumbai Indians,49752,Virat Kohli,Royal Challengers Bangalore
829739,2015,45222,Jean-Paul Duminy,Delhi Daredevils,7773,Gautam Gambhir,Kolkata Knight Riders
829741,2015,10125,Shane Watson,Rajasthan Royals,7781,Virender Sehwag,Kings XI Punjab
829743,2015,48739,David Warner,Sunrisers Hyderabad,7773,Gautam Gambhir,Kolkata Knight Riders
829745,2015,7593,MS Dhoni,Chennai Super Kings,49752,Virat Kohli,Royal Challengers Bangalore
829747,2015,45222,Jean-Paul Duminy,Delhi Daredevils,48405,Rohit Sharma,Mumbai Indians
829749,2015,10125,Shane Watson,Rajasthan Royals,49752,Virat Kohli,Royal Challengers Bangalore
829751,2015,48405,Rohit Sharma,Mumbai Indians,48739,David Warner,Sunrisers Hyderabad
829753,2015,7593,MS Dhoni,Chennai Super Kings,35384,George Bailey,Kings XI Punjab
829755,2015,7773,Gautam Gambhir,Kolkata Knight Riders,10125,Shane Watson,Rajasthan Royals
829757,2015,45222,Jean-Paul Duminy,Delhi Daredevils,49752,Virat Kohli,Royal Challengers Bangalore
829759,2015,48739,David Warner,Sunrisers Hyderabad,35384,George Bailey,Kings XI Punjab
829761,2015,7773,Gautam Gambhir,Kolkata Knight Riders,45222,Jean-Paul Duminy,Delhi Daredevils
829763,2015,49752,Virat Kohli,Royal Challengers Bangalore,10125,Shane Watson,Rajasthan Royals
829765,2015,7593,MS Dhoni,Chennai Super Kings,7773,Gautam Gambhir,Kolkata Knight Riders
829767,2015,35384,George Bailey,Kings XI Punjab,45222,Jean-Paul Duminy,Delhi Daredevils
829769,2015,48405,Rohit Sharma,Mumbai Indians,10125,Shane Watson,Rajasthan Royals
829771,2015,7773,Gautam Gambhir,Kolkata Knight Riders,49752,Virat Kohli,Royal Challengers Bangalore
829773,2015,48739,David Warner,Sunrisers Hyderabad,7593,MS Dhoni,Chennai Super Kings
829775,2015,48405,Rohit Sharma,Mumbai Indians,35384,George Bailey,Kings XI Punjab
829777,2015,10125,Shane Watson,Rajasthan Royals,45222,Jean-Paul Duminy,Delhi Daredevils
829779,2015,7593,MS Dhoni,Chennai Super Kings,49752,Virat Kohli,Royal Challengers Bangalore
829781,2015,7773,Gautam Gambhir,Kolkata Knight Riders,48739,David Warner,Sunrisers Hyderabad
829783,2015,45222,Jean-Paul Duminy,Delhi Daredevils,48405,Rohit Sharma,Mumbai Indians
829785,2015,49752,Virat Kohli,Royal Challengers Bangalore,35384,George Bailey,Kings XI Punjab
829787,2015,48739,David Warner,Sunrisers Hyderabad,10125,Shane Watson,Rajasthan Royals
829789,2015,7593,MS Dhoni,Chennai Super Kings,48405,Rohit Sharma,Mumbai Indians
829791,2015,35384,George Bailey,Kings XI Punjab,7773,Gautam Gambhir,Kolkata Knight Riders
829793,2015,48739,David Warner,Sunrisers Hyderabad,45222,Jean-Paul Duminy,Delhi Daredevils
829795,2015,49752,Virat Kohli,Royal Challengers Bangalore,48405,Rohit Sharma,Mumbai Indians
829797,2015,7593,MS Dhoni,Chennai Super Kings,50281,Steven Smith,Rajasthan Royals
829799,2015,48739,David Warner,Sunrisers Hyderabad,35384,George Bailey,Kings XI Punjab
829801,2015,7593,MS Dhoni,Chennai Super Kings,45222,Jean-Paul Duminy,Delhi Daredevils
829803,2015,35384,George Bailey,Kings XI Punjab,49752,Virat Kohli,Royal Challengers Bangalore
829805,2015,48405,Rohit Sharma,Mumbai Indians,7773,Gautam Gambhir,Kolkata Knight Riders
829807,2015,48739,David Warner,Sunrisers Hyderabad,49752,Virat Kohli,Royal Challengers Bangalore
829809,2015,35384,George Bailey,Kings XI Punjab,7593,MS Dhoni,Chennai Super Kings
829811,2015,50281,Steven Smith,Rajasthan Royals,7773,Gautam Gambhir,Kolkata Knight Riders
829813,2015,45222,Jean-Paul Duminy,Delhi Daredevils,49752,Virat Kohli,Royal Challengers Bangalore
829815,2015,48739,David Warner,Sunrisers Hyderabad,48405,Rohit Sharma,Mumbai Indians
829817,2015,48405,Rohit Sharma,Mumbai Indians,7593,MS Dhoni,Chennai Super Kings
829819,2015,49752,Virat Kohli,Royal Challengers Bangalore,50281,Steven Smith,Rajasthan Royals
829821,2015,49752,Virat Kohli,Royal Challengers Bangalore,7593,MS Dhoni,Chennai Super Kings
829823,2015,48405,Rohit Sharma,Mumbai Indians,7593,MS Dhoni,Chennai Super Kings
980901,2016,48405,Rohit Sharma,Mumbai Indians,7593,MS Dhoni,Rising Pune Supergiants
980903,2016,7678,Zaheer Khan,Delhi Daredevils,7773,Gautam Gambhir,Kolkata Knight Riders
980905,2016,53891,David Miller,Kings XI Punjab,15716,Suresh Raina,Gujarat Lions
980907,2016,49752,Virat Kohli,Royal Challengers Bangalore,48739,David Warner,Sunrisers Hyderabad
980909,2016,7773,Gautam Gambhir,Kolkata Knight Riders,48405,Rohit Sharma,Mumbai Indians
980911,2016,7593,MS Dhoni,Rising Pune Supergiants,15716,Suresh Raina,Gujarat Lions
980913,2016,53891,David Miller,Kings XI Punjab,7678,Zaheer Khan,Delhi Daredevils
980915,2016,48739,David Warner,Sunrisers Hyderabad,7773,Gautam Gambhir,Kolkata Knight Riders
980917,2016,48405,Rohit Sharma,Mumbai Indians,15716,Suresh Raina,Gujarat Lions
980919,2016,7593,MS Dhoni,Rising Pune Supergiants,53891,David Miller,Kings XI Punjab
980921,2016,49752,Virat Kohli,Royal Challengers Bangalore,7678,Zaheer Khan,Delhi Daredevils
980923,2016,48405,Rohit Sharma,Mumbai Indians,48739,David Warner,Sunrisers Hyderabad
980925,2016,53891,David Miller,Kings XI Punjab,7773,Gautam Gambhir,Kolkata Knight Riders
980927,2016,49752,Virat Kohli,Royal Challengers Bangalore,48405,Rohit Sharma,Mumbai Indians
980929,2016,15716,Suresh Raina,Gujarat Lions,48739,David Warner,Sunrisers Hyderabad
980931,2016,49752,Virat Kohli,Royal Challengers Bangalore,7593,MS Dhoni,Rising Pune Supergiants
980933,2016,7678,Zaheer Khan,Delhi Daredevils,48405,Rohit Sharma,Mumbai Indians
980935,2016,53891,David Miller,Kings XI Punjab,48739,David Warner,Sunrisers Hyderabad
980937,2016,49752,Virat Kohli,Royal Challengers Bangalore,15716,Suresh Raina,Gujarat Lions
980939,2016,7593,MS Dhoni,Rising Pune Supergiants,7773,Gautam Gambhir,Kolkata Knight Riders
980941,2016,48405,Rohit Sharma,Mumbai Indians,53891,David Miller,Kings XI Punjab
980943,2016,48739,David Warner,Sunrisers Hyderabad,7593,MS Dhoni,Rising Pune Supergiants
980945,2016,15716,Suresh Raina,Gujarat Lions,7678,Zaheer Khan,Delhi Daredevils
980947,2016,7773,Gautam Gambhir,Kolkata Knight Riders,48405,Rohit Sharma,Mumbai Indians
980949,2016,7593,MS Dhoni,Rising Pune Supergiants,15716,Suresh Raina,Gujarat Lions
980951,2016,7678,Zaheer Khan,Delhi Daredevils,7773,Gautam Gambhir,Kolkata Knight Riders
980953,2016,48739,David Warner,Sunrisers Hyderabad,49752,Virat Kohli,Royal Challengers Bangalore
980955,2016,49342,Murali Vijay,Kings XI Punjab,15716,Suresh Raina,Gujarat Lions
980957,2016,7593,MS Dhoni,Rising Pune Supergiants,48405,Rohit Sharma,Mumbai Indians
980959,2016,49752,Virat Kohli,Royal Challengers Bangalore,7773,Gautam Gambhir,Kolkata Knight Riders
980961,2016,15716,Suresh Raina,Gujarat Lions,7678,Zaheer Khan,Delhi Daredevils
980963,2016,7773,Gautam Gambhir,Kolkata Knight Riders,49342,Murali Vijay,Kings XI Punjab
980965,2016,45222,Jean-Paul Duminy,Delhi Daredevils,7593,MS Dhoni,Rising Pune Supergiants
980967,2016,15716,Suresh Raina,Gujarat Lions,48739,David Warner,Sunrisers Hyderabad
980969,2016,7593,MS Dhoni,Rising Pune Supergiants,49752,Virat Kohli,Royal Challengers Bangalore
980971,2016,49342,Murali Vijay,Kings XI Punjab,7678,Zaheer Khan,Delhi Daredevils
980973,2016,48739,David Warner,Sunrisers Hyderabad,48405,Rohit Sharma,Mumbai Indians
980975,2016,7773,Gautam Gambhir,Kolkata Knight Riders,15716,Suresh Raina,Gujarat Lions
980977,2016,49752,Virat Kohli,Royal Challengers Bangalore,49342,Murali Vijay,Kings XI Punjab
980979,2016,48739,David Warner,Sunrisers Hyderabad,7593,MS Dhoni,Rising Pune Supergiants
980981,2016,49752,Virat Kohli,Royal Challengers Bangalore,48405,Rohit Sharma,Mumbai Indians
980983,2016,48739,David Warner,Sunrisers Hyderabad,45222,Jean-Paul Duminy,Delhi Daredevils
980985,2016,48405,Rohit Sharma,Mumbai Indians,49342,Murali Vijay,Kings XI Punjab
980987,2016,49752,Virat Kohli,Royal Challengers Bangalore,10384,Brendon McCullum,Gujarat Lions
980989,2016,7593,MS Dhoni,Rising Pune Supergiants,7773,Gautam Gambhir,Kolkata Knight Riders
980991,2016,49342,Murali Vijay,Kings XI Punjab,48739,David Warner,Sunrisers Hyderabad
980993,2016,48405,Rohit Sharma,Mumbai Indians,7678,Zaheer Khan,Delhi Daredevils
980995,2016,7773,Gautam Gambhir,Kolkata Knight Riders,49752,Virat Kohli,Royal Challengers Bangalore
980997,2016,7678,Zaheer Khan,Delhi Daredevils,7593,MS Dhoni,Rising Pune Supergiants
980999,2016,49752,Virat Kohli,Royal Challengers Bangalore,49342,Murali Vijay,Kings XI Punjab
981001,2016,7773,Gautam Gambhir,Kolkata Knight Riders,15716,Suresh Raina,Gujarat Lions
981003,2016,48739,David Warner,Sunrisers Hyderabad,7678,Zaheer Khan,Delhi Daredevils
981005,2016,49342,Murali Vijay,Kings XI Punjab,7593,MS Dhoni,Rising Pune Supergiants
981007,2016,48405,Rohit Sharma,Mumbai Indians,15716,Suresh Raina,Gujarat Lions
981009,2016,7773,Gautam Gambhir,Kolkata Knight Riders,48739,David Warner,Sunrisers Hyderabad
981011,2016,7678,Zaheer Khan,Delhi Daredevils,49752,Virat Kohli,Royal Challengers Bangalore
981013,2016,15716,Suresh Raina,Gujarat Lions,49752,Virat Kohli,Royal Challengers Bangalore
981015,2016,48739,David Warner,Sunrisers Hyderabad,7773,Gautam Gambhir,Kolkata Knight Riders
981017,2016,15716,Suresh Raina,Gujarat Lions,48739,David Warner,Sunrisers Hyderabad
981019,2016,48739,David Warner,Sunrisers Hyderabad,49752,Virat Kohli,Royal Challengers Bangalore
1082591,2017,48739,David Warner,Sunrisers Hyderabad,10125,Shane Watson,Royal Challengers Bangalore
1082592,2017,48405,Rohit Sharma,Mumbai Indians,50281,Steven Smith,Rising Pune Supergiant
1082593,2017,15716,Suresh Raina,Gujarat Lions,7773,Gautam Gambhir,Kolkata Knight Riders
1082594,2017,50281,Steven Smith,Rising Pune Supergiant,54222,Glenn Maxwell,Kings XI Punjab
1082595,2017,10125,Shane Watson,Royal Challengers Bangalore,7678,Zaheer Khan,Delhi Daredevils
1082596,2017,15716,Suresh Raina,Gujarat Lions,48739,David Warner,Sunrisers Hyderabad
1082597,2017,7773,Gautam Gambhir,Kolkata Knight Riders,48405,Rohit Sharma,Mumbai Indians
1082598,2017,10125,Shane Watson,Royal Challengers Bangalore,54222,Glenn Maxwell,Kings XI Punjab
1082599,2017,7678,Zaheer Khan,Delhi Daredevils,51096,Ajinkya Rahane,Rising Pune Supergiant
1082600,2017,48739,David Warner,Sunrisers Hyderabad,48405,Rohit Sharma,Mumbai Indians
1082601,2017,54222,Glenn Maxwell,Kings XI Punjab,7773,Gautam Gambhir,Kolkata Knight Riders
1082602,2017,49752,Virat Kohli,Royal Challengers Bangalore,48405,Rohit Sharma,Mumbai Indians
1082603,2017,50281,Steven Smith,Rising Pune Supergiant,15716,Suresh Raina,Gujarat Lions
1082604,2017,7773,Gautam Gambhir,Kolkata Knight Riders,48739,David Warner,Sunrisers Hyderabad
1082605,2017,7678,Zaheer Khan,Delhi Daredevils,54222,Glenn Maxwell,Kings XI Punjab
1082606,2017,15716,Suresh Raina,Gujarat Lions,48405,Rohit Sharma,Mumbai Indians
1082607,2017,50281,Steven Smith,Rising Pune Supergiant,49752,Virat Kohli,Royal Challengers Bangalore
1082608,2017,7678,Zaheer Khan,Delhi Daredevils,7773,Gautam Gambhir,Kolkata Knight Riders
1082609,2017,48739,David Warner,Sunrisers Hyderabad,54222,Glenn Maxwell,Kings XI Punjab
1082610,2017,49752,Virat Kohli,Royal Challengers Bangalore,15716,Suresh Raina,Gujarat Lions
1082611,2017,48739,David Warner,Sunrisers Hyderabad,7678,Zaheer Khan,Delhi Daredevils
1082612,2017,54222,Glenn Maxwell,Kings XI Punjab,48405,Rohit Sharma,Mumbai Indians
1082613,2017,7773,Gautam Gambhir,Kolkata Knight Riders,15716,Suresh Raina,Gujarat Lions
1082614,2017,48405,Rohit Sharma,Mumbai Indians,7678,Zaheer Khan,Delhi Daredevils
1082615,2017,48739,David Warner,Sunrisers Hyderabad,50281,Steven Smith,Rising Pune Supergiant
1082616,2017,54222,Glenn Maxwell,Kings XI Punjab,15716,Suresh Raina,Gujarat Lions
1082617,2017,7773,Gautam Gambhir,Kolkata Knight Riders,49752,Virat Kohli,Royal Challengers Bangalore
1082618,2017,50281,Steven Smith,Rising Pune Supergiant,48405,Rohit Sharma,Mumbai Indians
1082619,2017,49752,Virat Kohli,Royal Challengers Bangalore,48739,David Warner,Sunrisers Hyderabad
1082620,2017,50281,Steven Smith,Rising Pune Supergiant,7773,Gautam Gambhir,Kolkata Knight Riders
1082621,2017,49752,Virat Kohli,Royal Challengers Bangalore,15716,Suresh Raina,Gujarat Lions
1082622,2017,7678,Zaheer Khan,Delhi Daredevils,7773,Gautam Gambhir,Kolkata Knight Riders
1082623,2017,48739,David Warner,Sunrisers Hyderabad,54222,Glenn Maxwell,Kings XI Punjab
1082624,2017,50281,Steven Smith,Rising Pune Supergiant,49752,Virat Kohli,Royal Challengers Bangalore
1082625,2017,15716,Suresh Raina,Gujarat Lions,48405,Rohit Sharma,Mumbai Indians
1082626,2017,59600,Karun Nair,Delhi Daredevils,54222,Glenn Maxwell,Kings XI Punjab
1082627,2017,48739,David Warner,Sunrisers Hyderabad,7773,Gautam Gambhir,Kolkata Knight Riders
1082628,2017,49752,Virat Kohli,Royal Challengers Bangalore,48405,Rohit Sharma,Mumbai Indians
1082629,2017,15716,Suresh Raina,Gujarat Lions,50281,Steven Smith,Rising Pune Supergiant
1082630,2017,48739,David Warner,Sunrisers Hyderabad,59600,Karun Nair,Delhi Daredevils
1082631,2017,7773,Gautam Gambhir,Kolkata Knight Riders,50281,Steven Smith,Rising Pune Supergiant
1082632,2017,15716,Suresh Raina,Gujarat Lions,59600,Karun Nair,Delhi Daredevils
1082633,2017,54222,Glenn Maxwell,Kings XI Punjab,49752,Virat Kohli,Royal Challengers Bangalore
1082634,2017,50281,Steven Smith,Rising Pune Supergiant,48739,David Warner,Sunrisers Hyderabad
1082635,2017,48405,Rohit Sharma,Mumbai Indians,7678,Zaheer Khan,Delhi Daredevils
1082636,2017,49752,Virat Kohli,Royal Challengers Bangalore,7773,Gautam Gambhir,Kolkata Knight Riders
1082637,2017,54222,Glenn Maxwell,Kings XI Punjab,15716,Suresh Raina,Gujarat Lions
1082638,2017,48405,Rohit Sharma,Mumbai Indians,48739,David Warner,Sunrisers Hyderabad
1082639,2017,54222,Glenn Maxwell,Kings XI Punjab,7773,Gautam Gambhir,Kolkata Knight Riders
1082640,2017,15716,Suresh Raina,Gujarat Lions,7678,Zaheer Khan,Delhi Daredevils
1082641,2017,54222,Glenn Maxwell,Kings XI Punjab,48405,Rohit Sharma,Mumbai Indians
1082642,2017,7678,Zaheer Khan,Delhi Daredevils,50281,Steven Smith,Rising Pune Supergiant
1082643,2017,15716,Suresh Raina,Gujarat Lions,48739,David Warner,Sunrisers Hyderabad
1082644,2017,48405,Rohit Sharma,Mumbai Indians,7773,Gautam Gambhir,Kolkata Knight Riders
1082645,2017,54222,Glenn Maxwell,Kings XI Punjab,50281,Steven Smith,Rising Pune Supergiant
1082646,2017,49752,Virat Kohli,Royal Challengers Bangalore,7678,Zaheer Khan,Delhi Daredevils
1082647,2017,50281,Steven Smith,Rising Pune Supergiant,48405,Rohit Sharma,Mumbai Indians
1082648,2017,48739,David Warner,Sunrisers Hyderabad,7773,Gautam Gambhir,Kolkata Knight Riders
1082649,2017,7773,Gautam Gambhir,Kolkata Knight Riders,48405,Rohit Sharma,Mumbai Indians
1082650,2017,48405,Rohit Sharma,Mumbai Indians,50281,Steven Smith,Rising Pune Supergiant
1136561,2018,48405,Rohit Sharma,Mumbai Indians,7593,MS Dhoni,Chennai Super Kings
1136562,2018,7773,Gautam Gambhir,Delhi Daredevils,12894,Ravichandran Ashwin,Kings XI Punjab
1136563,2018,49752,Virat Kohli,Royal Challengers Bangalore,8813,Dinesh Karthik,Kolkata Knight Riders
1136564,2018,51096,Ajinkya Rahane,Rajasthan Royals,51088,Kane Williamson,Sunrisers Hyderabad
1136565,2018,8813,Dinesh Karthik,Kolkata Knight Riders,7593,MS Dhoni,Chennai Super Kings
1136566,2018,51096,Ajinkya Rahane,Rajasthan Royals,7773,Gautam Gambhir,Delhi Daredevils
1136567,2018,48405,Rohit Sharma,Mumbai Indians,51088,Kane Williamson,Sunrisers Hyderabad
1136568,2018,12894,Ravichandran Ashwin,Kings XI Punjab,49752,Virat Kohli,Royal Challengers Bangalore
1136569,2018,48405,Rohit Sharma,Mumbai Indians,7773,Gautam Gambhir,Delhi Daredevils
1136570,2018,8813,Dinesh Karthik,Kolkata Knight Riders,51088,Kane Williamson,Sunrisers Hyderabad
1136571,2018,51096,Ajinkya Rahane,Rajasthan Royals,49752,Virat Kohli,Royal Challengers Bangalore
1136572,2018,12894,Ravichandran Ashwin,Kings XI Punjab,7593,MS Dhoni,Chennai Super Kings
1136573,2018,8813,Dinesh Karthik,Kolkata Knight Riders,7773,Gautam Gambhir,Delhi Daredevils
1136574,2018,48405,Rohit Sharma,Mumbai Indians,49752,Virat Kohli,Royal Challengers Bangalore
1136575,2018,51096,Ajinkya Rahane,Rajasthan Royals,8813,Dinesh Karthik,Kolkata Knight Riders
1136576,2018,12894,Ravichandran Ashwin,Kings XI Punjab,51088,Kane Williamson,Sunrisers Hyderabad
1136577,2018,7593,MS Dhoni,Chennai Super Kings,51096,Ajinkya Rahane,Rajasthan Royals
1136578,2018,8813,Dinesh Karthik,Kolkata Knight Riders,12894,Ravichandran Ashwin,Kings XI Punjab
1136579,2018,7773,Gautam Gambhir,Delhi Daredevils,49752,Virat Kohli,Royal Challengers Bangalore
1136580,2018,7593,MS Dhoni,Chennai Super Kings,51088,Kane Williamson,Sunrisers Hyderabad
1136581,2018,48405,Rohit Sharma,Mumbai Indians,51096,Ajinkya Rahane,Rajasthan Royals
1136582,2018,12894,Ravichandran Ashwin,Kings XI Punjab,7773,Gautam Gambhir,Delhi Daredevils
1136583,2018,51088,Kane Williamson,Sunrisers Hyderabad,48405,Rohit Sharma,Mumbai Indians
1136584,2018,49752,Virat Kohli,Royal Challengers Bangalore,7593,MS Dhoni,Chennai Super Kings
1136585,2018,51088,Kane Williamson,Sunrisers Hyderabad,12894,Ravichandran Ashwin,Kings XI Punjab
1136586,2018,71331,Shreyas Iyer,Delhi Daredevils,8813,Dinesh Karthik,Kolkata Knight Riders
1136587,2018,7593,MS Dhoni,Chennai Super Kings,48405,Rohit Sharma,Mumbai Indians
1136588,2018,51088,Kane Williamson,Sunrisers Hyderabad,51096,Ajinkya Rahane,Rajasthan Royals
1136589,2018,49752,Virat Kohli,Royal Challengers Bangalore,8813,Dinesh Karthik,Kolkata Knight Riders
1136590,2018,7593,MS Dhoni,Chennai Super Kings,71331,Shreyas Iyer,Delhi Daredevils
1136591,2018,49752,Virat Kohli,Royal Challengers Bangalore,48405,Rohit Sharma,Mumbai Indians
1136592,2018,71331,Shreyas Iyer,Delhi Daredevils,51096,Ajinkya Rahane,Rajasthan Royals
1136593,2018,7593,MS Dhoni,Chennai Super Kings,8813,Dinesh Karthik,Kolkata Knight Riders
1136594,2018,12894,Ravichandran Ashwin,Kings XI Punjab,48405,Rohit Sharma,Mumbai Indians
1136595,2018,49752,Virat Kohli,Royal Challengers Bangalore,7593,MS Dhoni,Chennai Super Kings
1136596,2018,71331,Shreyas Iyer,Delhi Daredevils,51088,Kane Williamson,Sunrisers Hyderabad
1136597,2018,48405,Rohit Sharma,Mumbai Indians,8813,Dinesh Karthik,Kolkata Knight Riders
1136598,2018,51096,Ajinkya Rahane,Rajasthan Royals,12894,Ravichandran Ashwin,Kings XI Punjab
1136599,2018,51088,Kane Williamson,Sunrisers Hyderabad,49752,Virat Kohli,Royal Challengers Bangalore
1136600,2018,51096,Ajinkya Rahane,Rajasthan Royals,12894,Ravichandran Ashwin,Kings XI Punjab
1136601,2018,48405,Rohit Sharma,Mumbai Indians,8813,Dinesh Karthik,Kolkata Knight Riders
1136602,2018,71331,Shreyas Iyer,Delhi Daredevils,51088,Kane Williamson,Sunrisers Hyderabad
1136603,2018,7593,MS Dhoni,Chennai Super Kings,51096,Ajinkya Rahane,Rajasthan Royals
1136604,2018,8813,Dinesh Karthik,Kolkata Knight Riders,12894,Ravichandran Ashwin,Kings XI Punjab
1136605,2018,71331,Shreyas Iyer,Delhi Daredevils,49752,Virat Kohli,Royal Challengers Bangalore
1136606,2018,51088,Kane Williamson,Sunrisers Hyderabad,7593,MS Dhoni,Chennai Super Kings
1136607,2018,48405,Rohit Sharma,Mumbai Indians,51096,Ajinkya Rahane,Rajasthan Royals
1136608,2018,12894,Ravichandran Ashwin,Kings XI Punjab,49752,Virat Kohli,Royal Challengers Bangalore
1136609,2018,51096,Ajinkya Rahane,Rajasthan Royals,8813,Dinesh Karthik,Kolkata Knight Riders
1136610,2018,48405,Rohit Sharma,Mumbai Indians,12894,Ravichandran Ashwin,Kings XI Punjab
1136611,2018,49752,Virat Kohli,Royal Challengers Bangalore,51088,Kane Williamson,Sunrisers Hyderabad
1136612,2018,71331,Shreyas Iyer,Delhi Daredevils,7593,MS Dhoni,Chennai Super Kings
1136613,2018,51096,Ajinkya Rahane,Rajasthan Royals,49752,Virat Kohli,Royal Challengers Bangalore
1136614,2018,51088,Kane Williamson,Sunrisers Hyderabad,8813,Dinesh Karthik,Kolkata Knight Riders
1136615,2018,71331,Shreyas Iyer,Delhi Daredevils,48405,Rohit Sharma,Mumbai Indians
